provinsi,tahun,bulan,ntn,sumber
NUSA TENGGARA BARAT,2020,1,100.88,perikanan_gabungan
NUSA TENGGARA BARAT,2020,2,99.67,perikanan_gabungan
NUSA TENGGARA BARAT,2020,3,100.08,perikanan_gabungan
NUSA TENGGARA BARAT,2020,4,100.53,perikanan_gabungan
NUSA TENGGARA BARAT,2020,5,102.09,perikanan_gabungan
NUSA TENGGARA BARAT,2020,6,103.60,perikanan_gabungan
NUSA TENGGARA BARAT,2020,7,105.19,perikanan_gabungan
NUSA TENGGARA BARAT,2020,8,104.05,perikanan_gabungan
NUSA TENGGARA BARAT,2020,9,105.25,perikanan_gabungan
NUSA TENGGARA BARAT,2020,10,106.56,perikanan_gabungan
NUSA TENGGARA BARAT,2020,11,107.23,perikanan_gabungan
NUSA TENGGARA BARAT,2020,12,107.61,perikanan_gabungan
NUSA TENGGARA BARAT,2021,1,107.99,perikanan_gabungan
NUSA TENGGARA BARAT,2021,2,107.83,perikanan_gabungan
NUSA TENGGARA BARAT,2021,3,106.33,perikanan_gabungan
NUSA TENGGARA BARAT,2021,4,107.73,perikanan_gabungan
NUSA TENGGARA BARAT,2021,5,109.90,perikanan_gabungan
NUSA TENGGARA BARAT,2021,6,108.96,perikanan_gabungan
NUSA TENGGARA BARAT,2021,7,108.53,perikanan_gabungan
NUSA TENGGARA BARAT,2021,8,110.37,perikanan_gabungan
NUSA TENGGARA BARAT,2021,9,110.65,perikanan_gabungan
NUSA TENGGARA BARAT,2021,10,111.68,perikanan_gabungan
NUSA TENGGARA BARAT,2021,11,111.95,perikanan_gabungan
NUSA TENGGARA BARAT,2021,12,113.56,perikanan_gabungan
NUSA TENGGARA BARAT,2022,1,113.95,perikanan_gabungan
NUSA TENGGARA BARAT,2022,2,114.29,perikanan_gabungan
NUSA TENGGARA BARAT,2022,3,113.72,perikanan_gabungan
NUSA TENGGARA BARAT,2022,4,112.34,perikanan_gabungan
NUSA TENGGARA BARAT,2022,5,112.95,perikanan_gabungan
NUSA TENGGARA BARAT,2022,6,113.97,perikanan_gabungan
NUSA TENGGARA BARAT,2022,7,114.36,perikanan_gabungan
NUSA TENGGARA BARAT,2022,8,116.09,perikanan_gabungan
NUSA TENGGARA BARAT,2022,9,113.80,perikanan_gabungan
NUSA TENGGARA BARAT,2022,10,112.68,perikanan_gabungan
NUSA TENGGARA BARAT,2022,11,111.27,perikanan_gabungan
NUSA TENGGARA BARAT,2022,12,113.57,perikanan_gabungan
NUSA TENGGARA BARAT,2023,1,114.29,perikanan_gabungan
NUSA TENGGARA BARAT,2023,2,112.36,perikanan_gabungan
NUSA TENGGARA BARAT,2023,3,111.94,perikanan_gabungan
NUSA TENGGARA BARAT,2023,4,113.16,perikanan_gabungan
NUSA TENGGARA BARAT,2023,5,113.15,perikanan_gabungan
NUSA TENGGARA BARAT,2023,6,113.12,perikanan_gabungan
NUSA TENGGARA BARAT,2023,7,113.93,perikanan_gabungan
NUSA TENGGARA BARAT,2023,8,113.42,perikanan_gabungan
NUSA TENGGARA BARAT,2023,9,111.31,perikanan_gabungan
NUSA TENGGARA BARAT,2023,10,109.51,perikanan_gabungan
NUSA TENGGARA BARAT,2023,11,108.59,perikanan_gabungan
NUSA TENGGARA BARAT,2023,12,107.08,perikanan_gabungan
NUSA TENGGARA BARAT,2024,1,104.70,perikanan_gabungan
NUSA TENGGARA BARAT,2024,2,102.25,perikanan_gabungan
NUSA TENGGARA BARAT,2024,3,104.08,perikanan_gabungan
NUSA TENGGARA BARAT,2024,4,103.50,perikanan_gabungan
NUSA TENGGARA BARAT,2024,5,102.75,perikanan_gabungan
NUSA TENGGARA BARAT,2024,6,101.13,perikanan_gabungan
NUSA TENGGARA BARAT,2024,7,101.97,perikanan_gabungan
NUSA TENGGARA BARAT,2024,8,102.42,perikanan_gabungan
NUSA TENGGARA BARAT,2024,9,101.99,perikanan_gabungan
NUSA TENGGARA BARAT,2024,10,103.24,perikanan_gabungan
NUSA TENGGARA BARAT,2024,11,104.12,perikanan_gabungan
NUSA TENGGARA BARAT,2024,12,105.59,perikanan_gabungan
NUSA TENGGARA BARAT,2025,1,106.15,perikanan_gabungan
NUSA TENGGARA BARAT,2025,2,107.54,perikanan_gabungan
NUSA TENGGARA BARAT,2025,3,104.96,perikanan_gabungan
NUSA TENGGARA BARAT,2025,4,105.77,perikanan_gabungan
NUSA TENGGARA BARAT,2025,5,106.81,perikanan_gabungan
NUSA TENGGARA BARAT,2025,6,106.33,perikanan_gabungan
NUSA TENGGARA BARAT,2025,7,107.68,perikanan_gabungan
NUSA TENGGARA BARAT,2025,8,108.40,perikanan_gabungan
NUSA TENGGARA BARAT,2025,9,108.78,perikanan_gabungan
NUSA TENGGARA BARAT,2025,10,107.24,perikanan_gabungan
NUSA TENGGARA BARAT,2025,11,107.41,perikanan_gabungan
NUSA TENGGARA BARAT,2025,12,106.82,perikanan_gabungan
NUSA TENGGARA BARAT,2026,1,109.16,perikanan_gabungan
NUSA TENGGARA BARAT,2026,2,110.15,perikanan_gabungan
NUSA TENGGARA BARAT,2026,3,113.14,perikanan_gabungan
NUSA TENGGARA BARAT,2026,4,110.26,perikanan_gabungan
NUSA TENGGARA BARAT,2026,5,109.53,perikanan_gabungan
NUSA TENGGARA BARAT,2026,6,108.85,perikanan_gabungan
NUSA TENGGARA BARAT,2026,7,111.30,perikanan_gabungan
NUSA TENGGARA BARAT,2026,8,113.16,perikanan_gabungan
